,Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Alexander Heights,-31.828,115.867,The Market Place Ballajura IGA,-31.826870515613535,115.87821307442908,Grocery Store
1,Alexander Heights,-31.828,115.867,Domino's Pizza,-31.830509305000305,115.853342,Pizza Place
2,Alexander Heights,-31.828,115.867,Subway,-31.834326969066172,115.87916275069638,Sandwich Place
3,Alexander Heights,-31.828,115.867,Koondoola IGA X-press,-31.84155585798439,115.85920703439338,Grocery Store
4,Alexander Heights,-31.828,115.867,Alexander Heights Shopping Centre,-31.829768758144915,115.85344791412354,Shopping Mall
5,Alexander Heights,-31.828,115.867,Woolworths,-31.826763766408384,115.85274156609107,Supermarket
6,Alexander Heights,-31.828,115.867,Ballajura Market Place,-31.8266966654547,115.87806901270588,Flea Market
7,Alexander Heights,-31.828,115.867,Crust Gourmet Pizza Bar,-31.83046,115.853769,Pizza Place
8,Alexander Heights,-31.828,115.867,Liquorland,-31.830309303450868,115.85354252258013,Liquor Store
9,Alexander Heights,-31.828,115.867,Red Rooster,-31.834288,115.879135,Fast Food Restaurant
10,Alexander Heights,-31.828,115.867,Red Rooster,-31.83080688812511,115.85313817781851,Fast Food Restaurant
11,Alexander Heights,-31.828,115.867,Frangipani Park,-31.82677264106975,115.85271072697712,Park
12,Alexander Heights,-31.828,115.867,Paloma Sk8 Park,-31.82971064731947,115.8515703678131,Skate Park
13,Alfred Cove,-32.034,115.809,The Cove,-32.030907178920444,115.81361342381908,Indian Restaurant
14,Alfred Cove,-32.034,115.809,Dan Murphy's,-32.034316,115.790275,Beer Store
15,Alfred Cove,-32.034,115.809,Grouch & Co,-32.043798168850856,115.81183094049126,Coffee Shop
16,Alfred Cove,-32.034,115.809,SUPA IGA,-32.038963033141364,115.81527340313278,Grocery Store
17,Alfred Cove,-32.034,115.809,Nando's,-32.04568742872747,115.81764962096504,Portuguese Restaurant
18,Alfred Cove,-32.034,115.809,Ohnamiya,-32.045515878046075,115.81253414958934,Japanese Restaurant
19,Alfred Cove,-32.034,115.809,Krispy Kreme,-32.04560856999803,115.81816296850302,Donut Shop
20,Alfred Cove,-32.034,115.809,Oishii Ramen,-32.045242,115.812403,Comfort Food Restaurant
21,Alfred Cove,-32.034,115.809,Seafresh,-32.039882912814946,115.82152054039196,Fish Market
22,Alfred Cove,-32.034,115.809,Mai Thai,-32.031247296807656,115.81463229670501,Thai Restaurant
23,Alfred Cove,-32.034,115.809,Tompkins Park,-32.02819801173461,115.81937313079834,Park
24,Alfred Cove,-32.034,115.809,McDonald's,-32.045267929342714,115.81922869714388,Fast Food Restaurant
25,Alfred Cove,-32.034,115.809,Delicious Fingers,-32.04330917864892,115.80036080064085,Café
26,Alfred Cove,-32.034,115.809,KFC,-32.031241240567276,115.81592247274364,Fast Food Restaurant
27,Alfred Cove,-32.034,115.809,Melville Recreation Centre,-32.03430052359318,115.79580748228243,Stadium
28,Alfred Cove,-32.034,115.809,Wireless Hill Park,-32.03001067184951,115.82758812778287,Park
29,Alfred Cove,-32.034,115.809,Tao Café,-32.04519534288052,115.81843801595204,Asian Restaurant
30,Alfred Cove,-32.034,115.809,Sundays Everyday,-32.045455494155135,115.81242266270979,Japanese Restaurant
31,Alfred Cove,-32.034,115.809,Utopia,-32.04584403499538,115.81253145636144,Café
32,Alfred Cove,-32.034,115.809,JB Hi-Fi,-32.045657721932045,115.82511024433393,Electronics Store
33,Alfred Cove,-32.034,115.809,Yee Seng Oriental Supermarket,-32.04538653865463,115.8124572075318,Grocery Store
34,Alfred Cove,-32.034,115.809,Limes,-32.045318670474785,115.81838745617824,Supermarket
35,Alfred Cove,-32.034,115.809,Kitchen Warehouse,-32.04504073713664,115.825000862717,Furniture / Home Store
36,Alfred Cove,-32.034,115.809,Coles,-32.03407875980291,115.79143571502989,Supermarket
37,Alfred Cove,-32.034,115.809,BP,-32.04575337422055,115.82031383201088,Gas Station
38,Alfred Cove,-32.034,115.809,Domino's Pizza,-32.045447875162886,115.81822804032775,Pizza Place
39,Alfred Cove,-32.034,115.809,Rebel Sport,-32.045749569725515,115.82177456950154,Sporting Goods Shop
40,Alfred Cove,-32.034,115.809,Blend Café & Pizza Bar,-32.04319262312125,115.80050268555418,Café
41,Alfred Cove,-32.034,115.809,Spice Express,-32.04538364641483,115.81239587937405,Indian Restaurant
42,Alfred Cove,-32.034,115.809,Spotlight,-32.044220462715934,115.82452160070915,Arts & Crafts Store
43,Alfred Cove,-32.034,115.809,Subway,-32.0456434396555,115.81749722022055,Sandwich Place
44,Alfred Cove,-32.034,115.809,Subway,-32.03518727909558,115.79055560363285,Sandwich Place
45,Alfred Cove,-32.034,115.809,Melville Plaza,-32.03422004463155,115.79139336886965,Shopping Mall
46,Alfred Cove,-32.034,115.809,The Miami Bakehouse,-32.034965332026374,115.79086261847335,Bakery
47,Alfred Cove,-32.034,115.809,Hungry Jack's,-32.04551228363085,115.81792860259546,Fast Food Restaurant
48,Alfred Cove,-32.034,115.809,Ipoh Garden Restaurant,-32.04582980109432,115.81249494481753,Malay Restaurant
49,Alfred Cove,-32.034,115.809,Hungry Jack's,-32.035447,115.789989,Fast Food Restaurant
50,Alfred Cove,-32.034,115.809,Happy Star Noodle House,-32.04579873159256,115.81250245881716,Chinese Restaurant
51,Alfred Cove,-32.034,115.809,Nando's,-32.03494934320647,115.7907946225253,Portuguese Restaurant
52,Alfred Cove,-32.034,115.809,The Rhein Donau Restaurant,-32.042483847473555,115.8160513945808,German Restaurant
53,Alfred Cove,-32.034,115.809,Subway,-32.04564136470149,115.8175553872702,Sandwich Place
54,Alfred Cove,-32.034,115.809,Yummy BBQ Chinese Resturant,-32.04525758177592,115.81819845815957,Chinese Restaurant
55,Alfred Cove,-32.034,115.809,Troy Park,-32.02455433145838,115.81277572735975,Park
56,Alfred Cove,-32.034,115.809,Hong Kong Cuisine,-32.04557055570524,115.8125670360901,Chinese Restaurant
57,Alfred Cove,-32.034,115.809,Uber Caf,-32.027728,115.794895,Café
58,Alfred Cove,-32.034,115.809,"Goodlife Health Club, Melville Plaza",-32.033853,115.791806,Gym
59,Alkimos,-31.629,115.688,McDonald's,-31.638877942536762,115.69410878259465,Fast Food Restaurant
60,Alkimos,-31.629,115.688,KFC,-31.638333,115.695338,Fast Food Restaurant
61,Alkimos,-31.629,115.688,Alkimos Beach,-31.619328097347065,115.6881809234619,Housing Development
62,Alkimos,-31.629,115.688,Aldi,-31.638107,115.69641,Supermarket
63,Alkimos,-31.629,115.688,Newyork Newyork Pizza & Burger,-31.635971,115.699554,American Restaurant
64,Applecross,-32.016,115.836,Nic and Kolo,-32.011026858528645,115.83516410444734,Australian Restaurant
65,Applecross,-32.016,115.836,Geláre,-32.02144507973182,115.83406021580599,Ice Cream Shop
66,Applecross,-32.016,115.836,Thai Corner Restaurant,-32.014041418621915,115.84714959389626,Thai Restaurant
67,Applecross,-32.016,115.836,Cioccolato Espresso,-32.011261080889476,115.83105208984905,Café
68,Applecross,-32.016,115.836,Jeff Joseph Reserve,-32.01126065640919,115.83106718555842,Park
69,Applecross,-32.016,115.836,Nando's,-32.013379820437166,115.8473760873882,Portuguese Restaurant
70,Applecross,-32.016,115.836,The Good Grocer,-32.011250278667646,115.83103633050226,Grocery Store
